card,wait_time,sample,model,num_players,card_range
91,25.0,0,gemini-2.5-flash-lite,3,81-100
50,20.0,0,gemini-2.5-flash-lite,3,41-60
1,5.0,0,gemini-2.5-flash-lite,3,1-20
71,25.0,0,gemini-2.5-flash-lite,3,61-80
41,15.0,0,gemini-2.5-flash-lite,3,41-60
75,25.0,0,gemini-2.5-flash-lite,3,61-80
56,15.0,0,gemini-2.5-flash-lite,3,41-60
11,10.0,0,gemini-2.5-flash-lite,3,1-20
16,10.0,0,gemini-2.5-flash-lite,3,1-20
81,25.0,0,gemini-2.5-flash-lite,3,81-100
21,15.0,0,gemini-2.5-flash-lite,3,21-40
25,5.0,0,gemini-2.5-flash-lite,3,21-40
36,15.0,0,gemini-2.5-flash-lite,3,21-40
31,15.0,0,gemini-2.5-flash-lite,3,21-40
46,15.0,0,gemini-2.5-flash-lite,3,41-60
66,15.0,0,gemini-2.5-flash-lite,3,61-80
76,25.0,0,gemini-2.5-flash-lite,3,61-80
61,25.0,0,gemini-2.5-flash-lite,3,61-80
6,5.0,0,gemini-2.5-flash-lite,3,1-20
86,25.0,0,gemini-2.5-flash-lite,3,81-100
26,15.0,0,gemini-2.5-flash-lite,3,21-40
96,25.0,0,gemini-2.5-flash-lite,3,81-100
51,15.0,0,gemini-2.5-flash-lite,3,41-60
91,25.0,1,gemini-2.5-flash-lite,3,81-100
50,20.0,1,gemini-2.5-flash-lite,3,41-60
1,5.0,1,gemini-2.5-flash-lite,3,1-20
71,25.0,1,gemini-2.5-flash-lite,3,61-80
41,15.0,1,gemini-2.5-flash-lite,3,41-60
75,25.0,1,gemini-2.5-flash-lite,3,61-80
56,15.0,1,gemini-2.5-flash-lite,3,41-60
11,10.0,1,gemini-2.5-flash-lite,3,1-20
16,10.0,1,gemini-2.5-flash-lite,3,1-20
81,25.0,1,gemini-2.5-flash-lite,3,81-100
21,15.0,1,gemini-2.5-flash-lite,3,21-40
25,5.0,1,gemini-2.5-flash-lite,3,21-40
36,15.0,1,gemini-2.5-flash-lite,3,21-40
31,15.0,1,gemini-2.5-flash-lite,3,21-40
46,15.0,1,gemini-2.5-flash-lite,3,41-60
66,15.0,1,gemini-2.5-flash-lite,3,61-80
76,25.0,1,gemini-2.5-flash-lite,3,61-80
61,25.0,1,gemini-2.5-flash-lite,3,61-80
6,5.0,1,gemini-2.5-flash-lite,3,1-20
86,25.0,1,gemini-2.5-flash-lite,3,81-100
26,15.0,1,gemini-2.5-flash-lite,3,21-40
96,25.0,1,gemini-2.5-flash-lite,3,81-100
51,15.0,1,gemini-2.5-flash-lite,3,41-60
91,25.0,2,gemini-2.5-flash-lite,3,81-100
50,20.0,2,gemini-2.5-flash-lite,3,41-60
1,5.0,2,gemini-2.5-flash-lite,3,1-20
71,25.0,2,gemini-2.5-flash-lite,3,61-80
41,15.0,2,gemini-2.5-flash-lite,3,41-60
75,25.0,2,gemini-2.5-flash-lite,3,61-80
56,15.0,2,gemini-2.5-flash-lite,3,41-60
11,10.0,2,gemini-2.5-flash-lite,3,1-20
16,10.0,2,gemini-2.5-flash-lite,3,1-20
81,25.0,2,gemini-2.5-flash-lite,3,81-100
21,15.0,2,gemini-2.5-flash-lite,3,21-40
25,5.0,2,gemini-2.5-flash-lite,3,21-40
36,15.0,2,gemini-2.5-flash-lite,3,21-40
31,15.0,2,gemini-2.5-flash-lite,3,21-40
46,15.0,2,gemini-2.5-flash-lite,3,41-60
66,15.0,2,gemini-2.5-flash-lite,3,61-80
76,25.0,2,gemini-2.5-flash-lite,3,61-80
61,25.0,2,gemini-2.5-flash-lite,3,61-80
6,5.0,2,gemini-2.5-flash-lite,3,1-20
86,25.0,2,gemini-2.5-flash-lite,3,81-100
26,15.0,2,gemini-2.5-flash-lite,3,21-40
96,25.0,2,gemini-2.5-flash-lite,3,81-100
51,15.0,2,gemini-2.5-flash-lite,3,41-60
